Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
Aetna Specialty Pharmacy,http://www.aetnaspecialtypharmacy.com,503 Sunport Lane,Orlando,Florida,FL,32809,866-782-2779,"Bleeding Disorders, Asthma, Oncology, Crohn's Disease, Gaucher Disease, Growth Hormone, Hemophilia, Hepatitis, HIV, Fertility, Multiple Sclerosis, Osteoarthritis, Pain Management, Respiratory Disorders, RSV, Rheumatoid Arthritis, Transplantation",Rebecca Mitchem,mitchemr@aetna.com,URAC,Subsidiary,Aetna,"Delivery, Training, Injection supplies, Specialty CareRx",,,,"Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, REVLIMID, Nexavar, Letairis, Humira, Hemlimbra",
Afya Group LLC dba Rx Clinic Pharmacy,http://rxclinicpharmacy.com/,7308 E. Independence Blvd Suite I,Charlotte,North Carolina,NC,28227,704-537-0992,"HRT, Multiple Sclerosis, Pain Management",Amina Abubakar,amina@rxclinicpharmacy.com,,Subsidiary,Afya Group,"Education/Disease Management, Delivery, Packaging",,,"Charlotte, NC",,
AHF Pharmacy,http://ahfpharmacy.org,1400 South Grand Ave. Ste 801,Los Angeles,California,CA,90015,213-741-5271,"Fertility, Hepatitis, HIV, Oncology, Transplantation",Scott Carruthers,scott.carruthers@aidshealth.org,,Private,AIDS Healthcare Foundation,"Free HIV Testing, Delivery",,,"North Miami Beach, FL; Seattle, WA (2); Orlando, FL; Oakland Park, FL; Columbus, OH; Los Angeles, CA (2); Miami Beach, FL (2); Fort Lauderdale, FL (3); Gardena, CA; Jacksonville, FL; Wilton Manors, FL; Washington, DC; Safety Harbor, FL; Long Beach, CA; Miami, FL (2); San Diego, CA; Oakland, CA; Fort Worth, TX; San Francisco, CA; Melville, NY; Brooklyn, NY; Sherman Oaks, CA; Pensacola, FL; Los Angeles, CA (2); Lithonia, GA; West Hollywood, CA; Beverly Hills, CA; Columbia, SC; Dallas, TX (2); Las Vegas, NV; Cleveland, OH; Chicago, IL; Newnan, GA; Atlanta, GA (2); Baton Rouge, LA; Jamaica, NY",,
Akina Pharmacy,https://akinapharmacy.com/,4080 Lafayette Center Dr #270,Chantilly,Virginia,VA,20151,855-792-5462,"Pain management, HRT, Dermatology, Gastroenterology, Ophthalmology, Fertility",Bassem Girgis,bass@akinapharmacy.com,"PCAB, ACHC",Private,Independent,"Home delivery, Counseling and education, Compliance management, Prior authorization management, Third party billing and reimbursement management",,,,,
Alabama Fertility Specialists,http://www.alabamafertility.com,"2700 Highway 280, Suite 370 East",Birmingham,Alabama,AL,35223,205-874-0000,Fertility,Michael Steinkampf,,,Private,Independent,"Patient support, Insurance assistance",,,,,
Albertson's Specialty Care,http://www.albertsons.com/,250 Parkcenter Blvd.,Boise,Idaho,ID,83706,877-276-9637,"Oncology, Hepatitis C, Rheumatoid Arthritis, Multiple Sclerosis, Cystic Fibrosis, Behavioral Health, Growth Hormone, Hemophilia, Osteoporosis, Psoriasis, Transplantation",Mark Panzer,Mark.panzer@albertsons.com,"ACHC, URAC",Subsidiary,Albertson's,"Clinical services, Reimbursement and co-pay assistance, Adherence programs",Prior authorization assistance,,"1,700 in-store pharmacies",,
CHI Specialty Pharmacy,http://www.chihealth.com/specialty-pharmacy,7710 Mercy Road,Omaha,Nebraska,NE, 68124,402-398-5503,"Immunology, Psoriasis, Psoriatic arthritis, Rheumatoid arthritis, Ankylosing Spondylitis, Crohn's Disease, Hemophilia, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Transplantation",Greg Schardt,greg.schardt@alegent.org,URAC,Subsidiary,CHI Health,"24/7 pharmacist, Patient financial advocates, Educational and support",,,,,
Alexander's Twin Pharmacy,http://www.alexanderdrug.com,1060 Whitehorse Mercerville Road ,Hamilton,New Jersey,NJ,08610,609-585-7222,Fertility,Neil Schenkel,neil@alexanderdrug.com,URAC,Private,Independent,"DesignRx, Financial assistance",,,,,
AllCare Plus Pharmacy Inc.,http://www.allcarepluspharmacy.com,50 Bearfoot Rd,Northborough,Massachusetts,MA,01532,548-459-3535,"Crohn's Disease, Hepatitis B, HIV, Psoriasis, Hepatitis C, Multiple Sclerosis, Rheumatoid Arthritis",Daniel Apelian,daniel.apelian@rxallcare.com,"URAC, JCAHO, ACHC",Private,Independent,"Delivery, Custom Care Plan, Clinical pharmacist available 24/7, Copay assistance and funding","Prior authorizations, Benefits investigations, Submit appeals, Compliance and adherence programs, Copay assistance","Reimbursement support, Patient assistance programs, Adherence support programs, Copay assistance",,"SOMATULINE DEPOT, SOMAVERT, CINQAIR, NUCALA, XOLAIR, ARALAST NP, GLASSIA, ZEMAIRA, CEPROTIN, BETHKIS, KALYDECO, KITABIS PAK, ORKAMBI, TOBI PODHALER, XIAFLEX, GATTEX, OCALIVA, SOLESTA, SEROSTIM, INCRELEX, ADYNOVATE, CORIFACT, NOVOEIGHT, OBIZUR, TRETTEN, INTRON-A, EGRIFTA, AVEED, NATPARA, SUPPRELIN LA, BIVIGAM, GAMMAPLEX, HIZENTRA, PROMACTA, ACTIMMUNE, TYSABRI, PRALUENT, ALDURAZYME, CERDELGA, CEREZYME, CYSTAGON, ELAPRASE, FABRAZYME, LUMIZYME, MYOZYME, NAGLAZYME, VIMIZIM, VPRIV, AMPYRA, AUBAGIO, PLEGRIDY, TECFIDERA, TYSABRI, ADCETRIS, ARZERRA, BELEODAQ, BENDEKA, BLINCYTO, DARZALEX, EMPLICITI, EVOMELA, GAZYVA, INTRON A, ISTODAX, KEYTRUDA, KYPROLIS, OPDIVO, SYLATRON, TECENTRIQ, THYROGEN, YONDELIS, ALECENSA, COTELLIC, ERIVEDGE, FARYDAK, HYCAMTIN, IBRANCE, INLYTA, JAKAFI, LONSURF, MEKINIST, NEXAVAR, NINLARO, ODOMZO, POMALYST, PURIXAN, REVLIMID, STIVARGA, TAFINLAR, TARCEVA, TYKERB, VOTRIENT, XALKORI, XTANDI, ZELBORAF, ZYKADIA, GENVISC 850, HYMOVIS, SOLIRIS, KUVAN, MAKENA, COSENTYX, OTEZLA, TALTZ, ADEMPAS, LETAIRIS, OPSUMIT, ORENITRAM, REMODULIN, TRACLEER, TYVASO, UPTRAVI, VELETRI, VENTAVIS, ACTEMRA",
Allcare Specialty Pharmacy,http://www.allcarepharmacy.com,10620 Colonel Glenn Rd. Ste 300,Little Rock,Alaska,AK,72204,855-780-5500,"Rheumatoid Arthritis, Crohn's Disease, Ulcerative Colitis, Oncology, Multiple Sclerosis, Growth Hormone, Psoriasis",Stephen Carroll,stephen@allcarepharmacy.com,"URAC, ACHC, VIPPS",Private,Independent,"Co-pay option, 24/7 customer service, Delivery, Refill management, Education and counseling",,"MTM, Outreach calls, OTC support, AlphaPack Compliance packaging, custom prescription compounding",,,
AllianceRx Walgreens Prime,www.alliancerxwp.com,"2354 Commerce Park Dr #100,",Orlando,Florida,FL,32819,877-627-6337,"Asthma, Anemia, Crohn's Disease, Cystic Fibrosis, Enzyme deficiencies, Fertility, Growth Hormone, Hemophilia, Hepatitis C, HIV, IVG, Multiple Sclerosis, Osteoarthritis, Psoriasis, Psoriatric arthritis, PAH, RSV, Rheumatoid Arthritis, Transplant, Urology, Ulcerative Colitis, Von Willebrand Disease",Joel Wright,joel.wright@alliancerxwp.com,"URAC, ACHC",Subsidiary,"Walgreens Boots Alliance, Prime Therapeutics","Deliveries and refills, 24/7 access, Insurance verification and help with prior authorization, Side effect management and adherence support, Financial assistance support",,,"Beaverton, OR; Bethesda, MD; Canton, MI; Deerfield, IL; Frisco, TX; Irving, TX; Pittsburgh, PA; Tempe, AZ","Actemra, Acthar H.P., Actimmune, Adagen, Alecensa, Ampyra, Apokyn, Aralast, Arzerra, Aubagio, Avastin, Aveed, Benlysta, Berinert, Bethkis, Bosulif, Bupheny, Cabometyx, Cayston, Cerdelga, Cosentyx, Cotellic, Cystaran, Dacogen, Daraprim, Darzalex, Egrifta, Ergomar, Erivedge, Esbriet, Exjade, Eylea, Farydak, Gazyva, Gel-One, Glassia, Hemlimbra, Hemangeol, Herceptin, Hetlioz, Hizentra, Humira, Hyqvia, Ibrance, Increlex, Intron-A, Jakafi, Jetrea, Kadcyla, Kalydeco, Kanuma, Kitabis Pak, Kuvan, Kyleena, Kynamro, Kyprolis, Lemtrada, Letairis, Lonsurf, Lucentis, Lumizyme, Macugen, Matulane, MuGard, Naglazyme, Natpara, Nexavar, Ninlaro, Northera, Nucala, Nuplazid, Nutropin, Ocaliva, Ocrevus, OFEV, Opsumit, Oralair, Orkambi, Perjeta, Plegridy, Pomalyst, Qutenza, Ravicti, Revlimid, Riastap, Rituxan, Ruconest, Sabril, Samsca, Skyla, Solesta, Soliris, Somavert, Stivarga, Supprelin, Sutent, Sylatron, Taltz, Tarceva, Tecentriq, Tecfidera, Testopel, Thalomid, Tobi, Tracleer, Tysabri, Varithena, Vecamyl, Vimizim, Visudyne, Vpriv, Xalkori, Xenazine, Xolair, Xtandi, Yervoy, Yondelis, Zelboraf, Zinbryta, Zykadia, Zytiga",
Allied Health Solutions - Specialty Pharmacy,http://alliedhealthsolutionsrx.com/,3040 University Ave #1400,Morgantown,West Virginia,WV,26505,304-285-7216,"Crohn's Disease, Ulcerative Colitis, Cystic Fibrosis, Growth Hormone, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Osteoporosis, Osteoarthritis, Psoriasis, Psoriatric arthritis, Rheumatoid arthritis, RSV",Louis Sokos,sokosl@wvumedicine.org,URAC,Subsidiary,WVU Medicine,"Education and counseling, Refills, Financial support assistance","Prior authorization assistance, Clinical support",,,,
Allina Health Heart Hospital Pharmacy,https://wellness.allinahealth.org/services/504,920 East 28th Street,Minneapolis,Minnesota,MN,55407,612-775-3100,"Multiple Sclerosis, Hepatitis C, Transplantation, Oncology, Inflammatory diseases, Crohn's disease",Ann Byre,ann.byre@allina.com,URAC,Subsidiary,Allina Health,"Counseling and education, Delivery, Refill reminders, 24x7 support","Review medication benefits/costs, Coordinate prior authorizations",,,,
"Alphascript, Inc.",http://www.alphascriptrx.com,1160 Industrial Rd STE 17,San Carlos,California,CA,94070,800-780-3584,"HIV, Hepatitis, Transplantation",Russell Zukin,russell.zukin@alphascriptrx.com,URAC,Private,Independent,"Pharmacist counseling, Benefit coordination, Mail & Delivery",Prior authorization support,,,,
Alps Specialty Pharmacy,http://alpspharmacy.com/,"2828 N. National Ave, Suite B",Springfield,Missouri,MO,65803,417-865-1547,"Oncology, Crohn's Disease, Cystic Fibrosis, Dermatology, Hepatitis B, Hepatitis C, HIV, Hypercholesterolemia, IBD, Multiple Sclerosis, Osteoporosis, Psoriasis, PAH, Rheumatoid Arthritis, Substance Abuse, Ulcerative Colitis",Don Savley,dsavley@alpshparmacy.com,"URAC, ACHC",Private,Independent,"Counseling and education, Refill reminders, Insurance benefits exploration","Prior authorization support, Formulary management support","Compliance & Reporting, REM program education",,"Ingrezza, Vivitrol",
AltScripts Specialty Pharmacy,http://www.altscripts.com/,1636 Miller Park Way,West Milwaukee,Wisconsin,WI,53215,414-385-9500,"Cardiovascular, COPD, HIV, Diabetes, Hepatitis C, Chemotherapy, Fertility, Hypertension, Gastroenterology, Immunology, Rheumatoid Arthritis, Multiple Sclerosis, Diabetes, Renal Disease, Pain Management",Mike Gindi,,JCAHO,Member,CARE Pharmacies,"Counseling and education, Delivery, Financial assistance, Pharmacist 24/7",,Patient Disease and medication education,,,
Amber Pharmacy,http://www.amberpharmacy.com,"10004 S 152nd St, Suite A ",Omaha,Nebraska,NE,68138,888-370-1724,"IBD, Hepatitis C, HIV/AIDS, Lupus, Oncology, Psoriasis, Rheumatoid Arthritis, Transplantation, Asthma, Dermatology, Gastroenterology, Multiple Sclerosis, RSV",Mike Agostino,magostino@hy-vee.com,"URAC, ACHC",Subsidiary,"Hy-Vee, Inc.","Personal Care Coordinator, Billing, Nursing Services, Financial Assistance Programs","Disease Management, Coordination of Benefits, Partial Dose Dispensing, Reports","Promises Program, Counseling and Education","Omaha, NE; Chicago, IL; Richardson, TX; Philadelphia, PA; Houston, TX; San Bernardino, CA","Xolair, Synagis, Tarceva, Xtandi, REVLIMID",
Ambulatory Care Pharmacy,http://www.fertilerus.com/,15001 Shady Grove Road,Rockville,Maryland,MD,20850,301-545-0193,Fertility,Joe Nusbaum,fertilerus@aol.com,,Private,Independent,"Counseling and education, shipping",,,"Shady Grove, MD",,
American Outcomes Management,http://www.americanoutcomes.com/,"5009 South Hulen Street, Suite 107",Fort Worth,Texas,TX,76132,817-361-7699,"IVIG, Multiple Sclerosis, Pain Management, Infusion",Sam Jampolis,,"URAC, ACHC",Private,Independent,"Counseling and education, Delivery, Prescription assessment",,,,,
AmeriPharma,https://ameripharma.us/,132 South Anita Drive,Orange,California,CA,92868,951-520-0099,"Crohn's Disease, Cystic Fibrosis, Gaucher Disease, Growth Hormone, HIV, Hepatitis B, Hepatitis C, Multiple Sclerosis, Osteoporosis, Immunoglobin, Psoriasis, RSV, Rheumatoid arthritis, Transplantation, Oncology",Andrew Harper,,"URAC, ACHC",Subsidiary,Harper's Pharmacy,"Counseling and education, delivery, Financial assistance support, 24/7/365 access","Personalized patient care, Adherence management, Prior authorization support","Compliance and reporting, Product launch support",,,
Amerita/PharMerica,http://www.ameritaiv.com,"7307 South Revere Parkway, Suite 200",Centennial,Colorado,CO,80112,720-282-2377,"Infectious Disease, Immunology, Oncology, Pain Management, Multiple Sclerosis, Hemophilia, Nutritional",Richard Iriye,richard. iriye@pharmerica.com,"URAC, ACHC",Subsidiary,PharMerica,Counseling and education; 24/4 clinical support,,Assists patients who are commercially insured with enrollment in manufacturer-sponsored co-pay programs for branded pharmaceutical products; Helps uninsured patients or those with a state or federally funded healthcare benefit program enroll in assistance programs,"Bentonville, Ark; Kingman, AZ; Prescott, AZ; Tucson, AZ; Oxnard, CA; Denver, CO; Colorado Springs, CO; Boise, ID; Olathe, KS; Fairfield, NJ; Tulsa, OK; East Providence, RI; Chattanooga, TN; Nashville, TN; Amarillo, TX; Austin, TX; Dallas, TX; El Paso, TX; San Antonio, TX; Salt Lake City, UT",,
AnavoRx Group,http://www.anovorx.com/,1710 N Shelby Oaks Dr #1,Memphis,Tennessee,TN,38134,844-288-5007,Bleeding disorders,David Stevens,David.Stevens@AnovoRx.com,"URAC, ACHC, VAWD",Private,Independent,"Medication therapy management, Delivery and shipping, financial assistance, Education and counseling, pharmacist 24/7, Copay assistance investigation, Refill Reminders",,"Product Launch & Market Access Solutions, Specialty Distribution Services, Hub Services",,HEMLIBRA,
AnazaoHealth Corporation,http://www.anazaohealth.com,5710 Hoover Boulevard,Tampa,Florida,FL,33634,800-995-4363,"Nuclear medicine, Pain management",Timothy Bresnahan,tbresnahan@anazaohealth.com,,Private,Independent,Counseling and education,,,"Tampa, FL; Las Vegas, NV",,
Apex Specialty Pharmacy,http://www.rxapex.com/,616 NW Platte Valley Drive,Riverside,Missouri,MO,64150,855-257-2584,"Dermatology, Gastroenterology, Hepatitis, Multiple Sclerosis, HIV, Rheumatoid Arthritis, Hemophilia, Oncology, Transplantation",Darren Lea,dlea@rxapex.com,"URAC, ACHC",Private,Independent,"Clinical and financial support,Financial assistance support",,,,,
Apothecary by Design,http://www.abdrx.com/,141 Preble Street,Portland,Maine,ME,04101,207-774-5220,"Fertility, Dermatology, Gastroenterology, Growth Hormone, Hepatitis, HIV, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, Transplantation",Thomas Madden,tmadden@abdrx.com,"URAC, ACHC",Subsidiary,CVS Health,"Counseling, Co-pay assistance, Insurance services, Delivery, 24/7 support","Formulary compliance, Waste Management, Member services, Education",Clinical and service support,"Portland, ME; Chicago, IL",,
Apthorp Pharmacy,http://www.apthorprx.com,2201 Broadway at 78th Street,New York,New York,NY,10024,212-877-3480,Fertility,Russell Gellis, rg1@apthorprx.com,,Private,Independent,"Counseling and education, Delivery, Insurance Screening and Direct Billing",,,,"Bravelle, Cetrotide, Follistim, Gonal-F, Menopur, Pregnyl, Ovidrel, Novarel, GANIRELIX ACETATE",
"Ardon Health, LLC",http://www.ardonhealth.com,11835 NE GLENN WIDING DR,Portland,Oregon,OR,97220-9057,"855-425-4085","Crohn's Disease, Hepatitis C, Psoriasis, Rheumatoloid Arthritis< Multiple Sclerosis, Psoriatric arthritis",Mina Baghzouz,mina.baghzouz@ardonhealth.com,"URAC, ACHC",Private,Independent,"Order and refills, Financial assistance, Patient care program, 24/7 support","Counseling, Reimbursement support, Custom packaging, Nursing advice, Refills, 24/7 support","Adherence assessment, Patient orientation and counseling, Physician consultations and coordination, Medication reimbursement support, Custom packaging",,"Taltz, Stelara, Cimzia, Enbrel, Humira, Remicade, Simponi, Avonex, Copaxone, Betaseron, Gilenya, Rebif, Olysio, Solvadi, Harvoni, Pegasys, Viekira",
Arizona Oncology,www.arizonaoncology.com,"4530 E. Ray Rd., Suite 178",Phoenix,Arizona,AZ,85044,480-256-1689,Oncology,Brian Schade ,brian.schade@usoncology.com.,,Subsidiary,US Oncology Network,,"Counseling and education, Insurance support",,,,
ARJ Infusion Services,http://www.arjinfusion.com ,7930 Marshall Drive,Lenexa,Kansas,KS,66214,866-451-8804,"Bleeding Disorders, IVIG, HIV, Hepatitis C, Hemophilia, Neurology, Gastroenterology, Rheumatoid arthritis",Lisa Sackuvich,lisas@arjinfusioin.com,,Private,Independent,"Insurance reimbursement, 24/7 support","Adherence models, Therapy Management","Data reporting, HUB routing, REMS, High-touch patient care model",,Hemlimbra,
Arlington Cancer Center,https://www.thpg.org/arlington-cancer-center,906 West Randol Mill Road,Arlington,Texas,TX,76012,817-261-4906,Oncology,Alfred DiStefano,alfreddistefano@TexasHealth.org,,Subsidiary,Texas Health Resources,"Counseling and education, Insurance support",,,"Trophy Club, TX; Arlington, TX",,
